Temperature (K),B2V Hard Sphere,B2V Square Well,B2V Lennard-Jones
100.0,3.416608202015798e+26,-4.6164982700127036e+27,-5.959015372370935e+27
107.07070707070707,3.416608202015798e+26,-4.083809375299507e+27,-5.466413056921482e+27
114.14141414141415,3.416608202015798e+26,-3.6495145840023747e+27,-5.046774420647989e+27
121.21212121212122,3.416608202015798e+26,-3.289406415160618e+27,-4.6849413705088146e+27
128.2828282828283,3.416608202015798e+26,-2.9864663250511383e+27,-4.369697872036978e+27
135.35353535353536,3.416608202015798e+26,-2.7284171712537623e+27,-4.0925635350778856e+27
142.42424242424244,3.416608202015798e+26,-2.506201465579498e+27,-3.84700537898013e+27
149.49494949494948,3.416608202015798e+26,-2.3130044196602398e+27,-3.627907752041145e+27
156.56565656565658,3.416608202015798e+26,-2.1436088630755557e+27,-3.4312067667658653e+27
163.63636363636363,3.416608202015798e+26,-1.9939585783834697e+27,-3.2536325404495546e+27
170.70707070707073,3.416608202015798e+26,-1.860856104595936e+27,-3.092523840192998e+27
177.77777777777777,3.416608202015798e+26,-1.741749415052673e+27,-2.945692433181649e+27
184.84848484848484,3.416608202015798e+26,-1.6345786207356117e+27,-2.8113222350902594e+27
191.91919191919192,3.416608202015798e+26,-1.5376640148570963e+27,-2.687893254249605e+27
198.989898989899,3.416608202015798e+26,-1.4496230999087298e+27,-2.574123488908904e+27
206.06060606060606,3.416608202015798e+26,-1.3693082640564552e+27,-2.4689240135115981e+27
213.13131313131314,3.416608202015798e+26,-1.2957593889175993e+27,-2.3713638835558352e+27
220.2020202020202,3.416608202015798e+26,-1.2281674017318466e+27,-2.280642439399523e+27
227.27272727272728,3.416608202015798e+26,-1.1658459505604463e+27,-2.1960672484301092e+27
234.34343434343435,3.416608202015798e+26,-1.1082091786073049e+27,-2.1170363885931294e+27
241.41414141414143,3.416608202015798e+26,-1.054754127387831e+27,-2.0430241067794605e+27
248.4848484848485,3.416608202015798e+26,-1.0050466880825141e+27,-1.9735691241675477e+27
255.55555555555557,3.416608202015798e+26,-9.587102980781501e+26,-1.9082650348724542e+27
262.62626262626264,3.416608202015798e+26,-9.154167799259488e+26,-1.8467523729007572e+27
269.6969696969697,3.416608202015798e+26,-8.748788659247755e+26,-1.7887120183463257e+27
276.7676767676768,3.416608202015798e+26,-8.368440590666562e+26,-1.7338596859834e+27
283.83838383838383,3.416608202015798e+26,-8.010895610556644e+26,-1.681941294262097e+27
290.9090909090909,3.416608202015798e+26,-7.674180581331285e+26,-1.6327290547157911e+27
297.979797979798,3.416608202015798e+26,-7.356542008756349e+26,-1.5860181542069378e+27
305.0505050505051,3.416608202015798e+26,-7.05641648801188e+26,-1.541623927643472e+27
312.1212121212121,3.416608202015798e+26,-6.772405772756185e+26,-1.4993794385302343e+27
319.19191919191917,3.416608202015798e+26,-6.503255648555e+26,-1.4591334002714298e+27
326.26262626262627,3.416608202015798e+26,-6.247837953011094e+26,-1.4207483834715728e+27
333.33333333333337,3.416608202015798e+26,-6.005135211261419e+26,-1.3840992643196718e+27
340.4040404040404,3.416608202015798e+26,-5.774227455266775e+26,-1.349071877031838e+27
347.47474747474746,3.416608202015798e+26,-5.554280874554299e+26,-1.3155618396917596e+27
354.54545454545456,3.416608202015798e+26,-5.344538009358973e+26,-1.2834735279862027e+27
361.6161616161616,3.416608202015798e+26,-5.144309247927412e+26,-1.2527191755345197e+27
368.6868686868687,3.416608202015798e+26,-4.9529654307582966e+26,-1.2232180829488855e+27
375.75757575757575,3.416608202015798e+26,-4.769931397812781e+26,-1.1948959205875797e+27
382.82828282828285,3.416608202015798e+26,-4.594680341825117e+26,-1.1676841122962039e+27
389.8989898989899,3.416608202015798e+26,-4.426728853018651e+26,-1.1415192893640347e+27
396.969696969697,3.416608202015798e+26,-4.265632558756341e+26,-1.1163428055311968e+27
404.04040404040404,3.416608202015798e+26,-4.110982276693545e+26,-1.0921003052248972e+27
411.11111111111114,3.416608202015798e+26,-3.962400612458924e+26,-1.0687413383281906e+27
418.1818181818182,3.416608202015798e+26,-3.8195389432490615e+26,-1.0462190157311509e+27
425.2525252525253,3.416608202015798e+26,-3.682074737368096e+26,-1.0244897007128226e+27
432.32323232323233,3.416608202015798e+26,-3.549709166984083e+26,-1.003512731877641e+27
439.3939393939394,3.416608202015798e+26,-3.422164977457929e+26,-9.832501739442976e+26
446.4646464646465,3.416608202015798e+26,-3.299184581729186e+26,-9.636665931729734e+26
453.5353535353535,3.416608202015798e+26,-3.1805283525802585e+26,-9.447288546342666e+26
460.6060606060606,3.416608202015798e+26,-3.0659730892784446e+26,-9.26405938880436e+26
467.67676767676767,3.416608202015798e+26,-2.955310638224464e+26,-9.08668775885658e+26
474.74747474747477,3.416608202015798e+26,-2.848346649904746e+26,-8.914900943867565e+26
481.8181818181818,3.416608202015798e+26,-2.74489945672746e+26,-8.748442849826733e+26
488.8888888888889,3.416608202015798e+26,-2.644799058279851e+26,-8.587072755488729e+26
495.95959595959596,3.416608202015798e+26,-2.547886202227114e+26,-8.43056417692656e+26
503.03030303030306,3.416608202015798e+26,-2.454011550523565e+26,-8.278703831246384e+26
510.1010101010101,3.416608202015798e+26,-2.363034921859537e+26,-8.13129068950184e+26
517.1717171717172,3.416608202015798e+26,-2.2748246023523826e+26,-7.988135109976629e+26
524.2424242424242,3.416608202015798e+26,-2.189256717431179e+26,-7.8490580439883e+26
531.3131313131314,3.416608202015798e+26,-2.1062146586834925e+26,-7.713890307231712e+26
538.3838383838383,3.416608202015798e+26,-2.0255885601459425e+26,-7.58247191043554e+26
545.4545454545455,3.416608202015798e+26,-1.9472748191432976e+26,-7.454651443775759e+26
552.5252525252525,3.416608202015798e+26,-1.8711756573260255e+26,-7.330285510074435e+26
559.5959595959596,3.416608202015798e+26,-1.7971987180340073e+26,-7.209238202332216e+26
566.6666666666667,3.416608202015798e+26,-1.725256696533958e+26,-7.091380621601842e+26
573.7373737373737,3.416608202015798e+26,-1.6552670000472904e+26,-6.976590431613053e+26
580.8080808080808,3.416608202015798e+26,-1.5871514348107705e+26,-6.864751446923162e+26
587.8787878787879,3.416608202015798e+26,-1.5208359176997666e+26,-6.755753251685431e+26
594.9494949494949,3.416608202015798e+26,-1.4562502101979698e+26,-6.649490846411702e+26
602.0202020202021,3.416608202015798e+26,-1.3933276727228022e+26,-6.545864320360884e+26
609.0909090909091,3.416608202015798e+26,-1.3320050375155222e+26,-6.444778547409949e+26
616.1616161616162,3.416608202015798e+26,-1.2722221984824904e+26,-6.346142903467931e+26
623.2323232323232,3.416608202015798e+26,-1.2139220165322807e+26,-6.249871003672488e+26
630.3030303030304,3.416608202015798e+26,-1.1570501390940297e+26,-6.155880457773645e+26
637.3737373737374,3.416608202015798e+26,-1.1015548326281954e+26,-6.0640926422511315e+26
644.4444444444445,3.416608202015798e+26,-1.0473868270532574e+26,-5.974432487848314e+26
651.5151515151515,3.416608202015798e+26,-9.944991711125536e+25,-5.886828281315503e+26
658.5858585858587,3.416608202015798e+26,-9.42847097795449e+25,-5.801211480271133e+26
665.6565656565657,3.416608202015798e+26,-8.923878990080601e+25,-5.717516540175474e+26
672.7272727272727,3.416608202015798e+26,-8.430808087613776e+25,-5.635680752504146e+26
679.7979797979798,3.416608202015798e+26,-7.94886894210041e+25,-5.555644093285967e+26
686.8686868686868,3.416608202015798e+26,-7.477689539340012e+25,-5.477349081237084e+26
693.939393939394,3.416608202015798e+26,-7.016914229082257e+25,-5.40074064479057e+26
701.010101010101,3.416608202015798e+26,-6.5662028365382816e+25,-5.325765997378326e+26
708.0808080808081,3.416608202015798e+26,-6.125229831071775e+25,-5.252374520372572e+26
